Sequence,EventName,ClientComponent,ClientFunction,ServerComponent,ServerFunction,RelationshipType,EventTimestamp
51,store,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerializationImpl.hpp,split,/include/cpsCore/Utilities/LinearAlgebra.h,store,Command,2026-05-22T12:42:09.475085Z
52,store,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerializationImpl.hpp,split,/include/cpsCore/Utilities/Packet.h,store,Command,2026-05-22T12:42:09.476085Z
53,stream,/src/Utilities/IDC/IDCSender.cpp,sendPacket,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.477085Z
54,getSize,/src/Utilities/IPC/detail/MessageQueuePublisherImpl.cpp,publish,/include/cpsCore/Utilities/Packet.h,getSize,Command,2026-05-22T12:42:09.478085Z
55,stream,/src/Utilities/IPC/detail/SharedMemoryPublisherImpl.cpp,SharedMemoryPublisherImpl,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.479085Z
56,stream,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnExit,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.480085Z
57,stream,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.481085Z
58,complete,/tests/Utilities/FilterTest.cpp,C_A_T_C_H_T_E_S_T_2,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.482085Z
59,handleExpr,/tests/Utilities/FilterTest.cpp,C_A_T_C_H_T_E_S_T_2,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.483085Z
60,is_array,/extern/cpp_redis/sources/core/types.cpp,xmessage,/extern/cpp_redis/includes/cpp_redis/core/reply.hpp,is_array,Command,2026-05-22T12:42:09.484085Z
61,add,/src/Aggregation/Aggregator.cpp,aggregate,/include/cpsCore/Aggregation/Aggregator.h,add,Command,2026-05-22T12:42:09.485085Z
62,notifyAggregationOnUpdate,/src/Aggregation/DynamicContainer/DynamicObjectContainer.cpp,notifyAggregationOnUpdate,/include/cpsCore/Aggregation/IAggregatableObject.h,notifyAggregationOnUpdate,Command,2026-05-22T12:42:09.486085Z
63,getInstance,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnExit,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,getInstance,Command,2026-05-22T12:42:09.487085Z
64,subscribeOnExit,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnExit,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,subscribeOnExit,Command,2026-05-22T12:42:09.488085Z
65,as_array,/extern/cpp_redis/sources/core/types.cpp,xmessage,/extern/cpp_redis/includes/cpp_redis/core/reply.hpp,as_array,Command,2026-05-22T12:42:09.489085Z
66,runStage,/src/Synchronization/AggregatableRunner.cpp,runAllStages,/include/cpsCore/Synchronization/AggregatableRunner.h,runStage,Command,2026-05-22T12:42:09.490085Z
67,is_connected,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,publish,/extern/cpp_redis/includes/cpp_redis/core/client.hpp,is_connected,Command,2026-05-22T12:42:09.491085Z
68,receive,/src/Utilities/IDC/NetworkLayer/Serial/SerialHandler.cpp,SerialHandler,/include/cpsCore/Utilities/IDC/NetworkLayer/Serial/SerialHandler.h,receive,Command,2026-05-22T12:42:09.492085Z
69,stream,/src/Utilities/IPC/detail/MessageQueuePublisherImpl.cpp,publish,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.493085Z
70,getInstance,/tests/Utilities/EnumMap.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Utilities/EnumMap.hpp,getInstance,Command,2026-05-22T12:42:09.494085Z
71,instance,/src/Framework/api/FrameworkAPI.cpp,getAggregator,/include/cpsCore/Framework/api/FrameworkAPI.h,instance,Command,2026-05-22T12:42:09.495085Z
72,append,/src/Utilities/DataPresentation/detail/BasicSerialization.cpp,store,/include/cpsCore/Utilities/DataPresentation/detail/Binary/BinaryToArchive.h,append,Command,2026-05-22T12:42:09.496085Z
73,complete,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_2,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.497085Z
74,handleExpr,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_2,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.498085Z
75,margin,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_2,/extern/Catch2/single_include/catch2/catch.hpp,margin,Command,2026-05-22T12:42:09.499085Z
76,is_string,/extern/cpp_redis/sources/core/types.cpp,xmessage,/extern/cpp_redis/includes/cpp_redis/core/reply.hpp,is_string,Command,2026-05-22T12:42:09.500085Z
77,stream,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,publish,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.501085Z
78,degrees,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_2,/include/cpsCore/Utilities/Angle.hpp,degrees,Command,2026-05-22T12:42:09.502085Z
